email,full name,role,is active,must change password,is demo
admin@britiumexpress.com,BRITIUM EXPRESS,SUPER_ADMIN,TRUE,TRUE,TRUE
aln_br@britiumexpress.com,BRITIUM EXPRESS,SUBSTATION_MANAGER,TRUE,TRUE,TRUE
bd_assist@britiumexpress.com,BRITIUM EXPRESS,STAFF,TRUE,TRUE,TRUE
br_mgr1@britiumexpress.com,BRITIUM EXPRESS,SUPERVISOR,TRUE,TRUE,TRUE
byn_br@britiumexpress.com,BRITIUM EXPRESS,SUBSTATION_MANAGER,TRUE,TRUE,TRUE
cashier_1@britiumexpress.com,BRITIUM EXPRESS,FINANCE_USER,TRUE,TRUE,TRUE
cs_1@britiumexpress.com,BRITIUM EXPRESS,CUSTOMER_SERVICE,TRUE,TRUE,TRUE
cs_2@britiumexpress.com,BRITIUM EXPRESS,CUSTOMER_SERVICE,TRUE,TRUE,TRUE
general1@britiumexpress.com,BRITIUM EXPRESS,STAFF,TRUE,TRUE,TRUE
general2@britiumexpress.com,BRITIUM EXPRESS,STAFF,TRUE,TRUE,TRUE
general3@britiumexpress.com,BRITIUM EXPRESS,STAFF,TRUE,TRUE,TRUE
general4@britiumexpress.com,BRITIUM EXPRESS,STAFF,TRUE,TRUE,TRUE
general5@britiumexpress.com,BRITIUM EXPRESS,STAFF,TRUE,TRUE,TRUE
general6@britiumexpress.com,BRITIUM EXPRESS,STAFF,TRUE,TRUE,TRUE
general7@britiumexpress.com,BRITIUM EXPRESS,STAFF,TRUE,TRUE,TRUE
general8@britiumexpress.com,BRITIUM EXPRESS,STAFF,TRUE,TRUE,TRUE
gm@britiumexpress.com,BRITIUM EXPRESS,SUPER_ADMIN,TRUE,TRUE,TRUE
hlg_br@britiumexpress.com,BRITIUM EXPRESS,SUBSTATION_MANAGER,TRUE,TRUE,TRUE
hod@britiumexpress.com,BRITIUM EXPRESS,OPERATIONS_ADMIN,TRUE,TRUE,TRUE
hradmin_am@britiumexpress.com,BRITIUM EXPRESS,HR_ADMIN,TRUE,TRUE,TRUE
hradmin_mgr@britiumexpress.com,BRITIUM EXPRESS,HR_ADMIN,TRUE,TRUE,TRUE
info@britiumexpress.com,BRITIUM EXPRESS,MARKETING_ADMIN,TRUE,TRUE,TRUE
info_mdy@britiumexpress.com,BRITIUM EXPRESS,MARKETING_ADMIN,TRUE,TRUE,TRUE
info_npt@britiumexpress.com,BRITIUM EXPRESS,MARKETING_ADMIN,TRUE,TRUE,TRUE
md@britiumexpress.com,BRITIUM EXPRESS,APP_OWNER,TRUE,TRUE,TRUE
nok_br@britiumexpress.com,BRITIUM EXPRESS,SUBSTATION_MANAGER,TRUE,TRUE,TRUE
npw@britiumexpress.com,BRITIUM EXPRESS,SUBSTATION_MANAGER,TRUE,TRUE,TRUE
opt_am@britiumexpress.com,BRITIUM EXPRESS,SUPERVISOR,TRUE,TRUE,TRUE
opt_mgr@britiumexpress.com,BRITIUM EXPRESS,SUPERVISOR,TRUE,TRUE,TRUE
opt_sup@britiumexpress.com,BRITIUM EXPRESS,SUPERVISOR,TRUE,TRUE,TRUE
rider.yangon01@britiumexpress.com,BRITIUM EXPRESS,RIDER,TRUE,TRUE,TRUE
sai@britiumexpress.com,BRITIUM EXPRESS,SUPER_ADMIN,TRUE,TRUE,TRUE
sales_exe@britiumexpress.com,BRITIUM EXPRESS,MARKETING_ADMIN,TRUE,TRUE,TRUE
tgg_br@britiumexpress.com,BRITIUM EXPRESS,SUBSTATION_MANAGER,TRUE,TRUE,TRUE
finance@britiumexpress.com,BRITIUM EXPRESS,FINANCE_STAFF,TRUE,TRUE,TRUE
warehouse_mgr@britiumexpress.com,BRITIUM EXPRESS,WAREHOUSE_MANAGER,TRUE,TRUE,TRUE
dataentry001@britiumexpress.com,BRITIUM EXPRESS,DATA_ENTRY,TRUE,TRUE,TRUE
driver_ygn001@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_ygn002@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_ygn003@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_ygn004@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_ygn005@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_ygn006@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_ygn007@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
driver_ygn008@britiumexpress.com,BRITIUM EXPRESS,DRIVER,TRUE,TRUE,TRUE
